Total_Stops,Price,Dep_time,Arrival_time,Duration,Day_of_week,Month_sin,Month_cos,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,3897,1340,70,170,6,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7662,350,795,445,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,13882,565,265,1140,6,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6218,1085,1410,325,6,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13302,1010,1295,285,4,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3873,540,685,145,0,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,11087,1135,625,930,1,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,22270,480,305,1265,4,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,11087,535,625,1530,1,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8625,685,1155,470,0,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8907,585,1380,795,5,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4174,1220,1375,155,3,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4667,700,835,135,0,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,9663,1270,560,730,3,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4804,1035,1190,155,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14011,1000,1155,1595,6,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5830,525,795,270,0,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,10262,840,755,1355,2,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13381,1215,1155,1380,2,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12898,960,755,1235,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,19495,850,1160,310,2,1.0,6.123233995736766e-17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6955,1320,800,920,3,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
